ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
DEMENTIA,EPILEPSY,11.737858783008,5.89482880823174e-73,9.0376857811876,15.2447575790508,154,Positive,Significant,Significant after FDR correction,0,true,60,DEMENTIA precedes EPILEPSY,38.961038961039,3.86255329821921,395,1.08145106091718,1.08 [0.03-3.16],258,824,3987
CHRONIC DIARRHOEA,IBD,9.73669705321179,3.29917539860719e-37,7.18250514396686,13.1991927058563,72,Positive,Significant,Significant after FDR correction,0,true,42,IBD precedes CHRONIC DIARRHOEA,58.3333333333333,1.8058690744921,766.5,2.09856262833676,2.10 [0.55-6.27],231,339,3987
CHRONIC PAIN CONDITIONS,NEUROPATHIC PAIN,7.53651950503356,7.35740241875581e-43,5.8304179642336,9.7418618353234,103,Positive,Significant,Significant after FDR correction,0,true,53,CHRONIC PAIN CONDITIONS precedes NEUROPATHIC PAIN,51.4563106796116,2.58339603712064,1197,3.27720739219713,3.28 [0.92-6.14],401,359,3987
CANCER,OSTEOPOROSIS,6.97895100069013,6.86131657370109e-31,5.22731267123576,9.31755189201636,75,Positive,Significant,Significant after FDR correction,0,true,33,OSTEOPOROSIS precedes CANCER,44,1.8811136192626,261,0.714579055441478,0.71 [0.09-4.82],369,282,3987
CEREBRAL PALSY,EPILEPSY,6.02520435967302,1.05609943679808e-29,4.5075910238274,8.05376694201458,90,Positive,Significant,Significant after FDR correction,0,true,38,EPILEPSY precedes CEREBRAL PALSY,42.2222222222222,2.25733634311512,687,1.88090349075975,1.88 [0.15-6.25],198,824,3987
DEMENTIA,THYROID DISORDERS,5.93481295365718,3.5223383254188e-38,4.59692661217352,7.66207681054176,123,Positive,Significant,Significant after FDR correction,0,true,83,THYROID DISORDERS precedes DEMENTIA,67.479674796748,3.08502633559067,1106,3.0280629705681,3.03 [1.08-5.58],258,919,3987
EPILEPSY,STROKE,5.01889233954451,3.47536745408759e-25,3.78185210398169,6.66056726264315,88,Positive,Significant,Significant after FDR correction,0,true,47,EPILEPSY precedes STROKE,53.4090909090909,2.20717331326812,985.5,2.69815195071869,2.70 [0.94-6.04],824,214,3987
DYSPHAGIA,EPILEPSY,4.73680351906158,9.94375277547448e-37,3.78536879630821,5.92737690448466,142,Positive,Significant,Significant after FDR correction,0,true,85,EPILEPSY precedes DYSPHAGIA,59.8591549295775,3.5615751191372,995,2.72416153319644,2.72 [0.58-6.84],370,824,3987
ANAEMIA,IBD,4.7317756003015,2.10187487434022e-25,3.63802351468653,6.15435833254579,88,Positive,Significant,Significant after FDR correction,0,true,51,IBD precedes ANAEMIA,57.9545454545455,2.20717331326812,937.5,2.56673511293635,2.57 [0.93-6.41],495,339,3987
CHRONIC ARTHRITIS,CHRONIC PAIN CONDITIONS,4.48861131980967,2.8317835231322e-34,3.59184415717967,5.60927220075813,137,Positive,Significant,Significant after FDR correction,0,true,72,CHRONIC PAIN CONDITIONS precedes CHRONIC ARTHRITIS,52.5547445255474,3.43616754451969,1130,3.09377138945927,3.09 [1.27-6.62],742,401,3987
