ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
CHRONIC PAIN CONDITIONS,NEUROPATHIC PAIN,10.382319434951,7.08578727093649e-42,7.70148259844033,13.9963384285503,80,Positive,Significant,Significant after FDR correction,0,true,44,CHRONIC PAIN CONDITIONS precedes NEUROPATHIC PAIN,55,2.77777777777778,1881,5.14989733059548,5.15 [2.18-9.73],410,213,2880
CEREBRAL PALSY,EPILEPSY,9.70421079824335,1.30783450688909e-50,7.3544398899114,12.8047422545291,110,Positive,Significant,Significant after FDR correction,0,true,50,CEREBRAL PALSY precedes EPILEPSY,45.4545454545455,3.81944444444444,1513,4.14236824093087,4.14 [0.74-7.62],222,663,2880
CHRONIC PAIN CONDITIONS,REFLUX DISORDERS,7.06088156306206,1.10651995481525e-58,5.67343386777811,8.78763190150922,161,Positive,Significant,Significant after FDR correction,0,true,85,REFLUX DISORDERS precedes CHRONIC PAIN CONDITIONS,52.7950310559006,5.59027777777778,1779,4.87063655030801,4.87 [1.76-9.67],410,650,2880
CHRONIC PAIN CONDITIONS,MENTAL ILLNESS,6.51733877828824,1.64252478948951e-60,5.27830075422485,8.04723086629374,185,Positive,Significant,Significant after FDR correction,0,true,103,MENTAL ILLNESS precedes CHRONIC PAIN CONDITIONS,55.6756756756757,6.42361111111111,1508,4.12867898699521,4.13 [1.42-9.04],410,838,2880
CHRONIC AIRWAY DISEASES,CHRONIC PAIN CONDITIONS,6.48891692663999,5.27769241532433e-49,5.17126634598856,8.14230791138758,139,Positive,Significant,Significant after FDR correction,0,true,68,CHRONIC AIRWAY DISEASES precedes CHRONIC PAIN CONDITIONS,48.9208633093525,4.82638888888889,1864,5.10335386721424,5.10 [1.77-9.87],566,410,2880
DYSPHAGIA,EPILEPSY,6.23975367265173,1.58045463722996e-27,4.61827977993168,8.4305255962528,77,Positive,Significant,Significant after FDR correction,0,true,40,EPILEPSY precedes DYSPHAGIA,51.9480519480519,2.67361111111111,1692,4.63244353182752,4.63 [1.82-8.27],192,663,2880
CHRONIC PAIN CONDITIONS,INSOMNIA,6.20884959998081,6.26074895171919e-34,4.77707959072649,8.06974483532087,93,Positive,Significant,Significant after FDR correction,0,true,55,INSOMNIA precedes CHRONIC PAIN CONDITIONS,59.1397849462366,3.22916666666667,1687,4.61875427789186,4.62 [2.00-8.16],410,356,2880
NEUROPATHIC PAIN,REFLUX DISORDERS,5.63223723762971,3.8382388381414e-26,4.20986398485647,7.53518318288954,79,Positive,Significant,Significant after FDR correction,0,true,42,NEUROPATHIC PAIN precedes REFLUX DISORDERS,53.1645569620253,2.74305555555556,1736,4.75290896646133,4.75 [2.84-9.23],213,650,2880
MENTAL ILLNESS,NEUROPATHIC PAIN,5.27123795729366,5.94488299997984e-27,3.97562197229794,6.98908241176484,91,Positive,Significant,Significant after FDR correction,0,true,49,MENTAL ILLNESS precedes NEUROPATHIC PAIN,53.8461538461538,3.15972222222222,1625,4.44900752908966,4.45 [2.10-10.35],838,213,2880
INSOMNIA,MENTAL ILLNESS,5.21529039361409,6.22493146440802e-41,4.16199669316987,6.53514548302245,146,Positive,Significant,Significant after FDR correction,0,true,73,INSOMNIA precedes MENTAL ILLNESS,50,5.06944444444444,1456,3.98631074606434,3.99 [1.52-8.96],356,838,2880
INSOMNIA,REFLUX DISORDERS,5.06081193830604,2.11362697814512e-34,3.99064024294951,6.41797203347276,119,Positive,Significant,Significant after FDR correction,0,true,70,INSOMNIA precedes REFLUX DISORDERS,58.8235294117647,4.13194444444444,1501,4.10951403148528,4.11 [1.37-8.74],356,650,2880
