ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
CORONARY HEART DISEASE,HEART FAILURE,31.4340747534969,5.57347198384687e-108,23.7703248459434,41.5686812028174,129,Positive,Significant,Significant after FDR correction,0,true,59,CORONARY HEART DISEASE precedes HEART FAILURE,45.7364341085271,7.43944636678201,366,1.00205338809035,1.00 [0.03-3.42],307,276,1734
CARDIAC ARRHYTHMIAS,HEART FAILURE,27.5175695899431,2.9718141176332e-113,21.0643593055964,35.9477649024049,146,Positive,Significant,Significant after FDR correction,0,true,60,CARDIAC ARRHYTHMIAS precedes HEART FAILURE,41.0958904109589,8.41983852364475,303.5,0.830937713894593,0.83 [0.08-2.27],403,276,1734
CANCER,OSTEOPOROSIS,20.2317916002127,1.78471094679284e-53,14.5132259206329,28.2036119049531,71,Positive,Significant,Significant after FDR correction,0,true,21,OSTEOPOROSIS precedes CANCER,29.5774647887324,4.09457900807382,0,0,0.00 [0.00-1.14],299,170,1734
CARDIAC ARRHYTHMIAS,CORONARY HEART DISEASE,18.3188346060396,4.24106430374415e-90,14.1758096345231,23.6727008880098,135,Positive,Significant,Significant after FDR correction,0,true,64,CORONARY HEART DISEASE precedes CARDIAC ARRHYTHMIAS,47.4074074074074,7.78546712802768,498,1.36344969199179,1.36 [0.10-3.99],403,307,1734
CHRONIC PNEUMONIA,CKD,18.1841656787196,6.05277572886547e-52,12.7540873473032,25.926110777424,79,Positive,Significant,Significant after FDR correction,0,true,35,CHRONIC PNEUMONIA precedes CKD,44.3037974683544,4.55594002306805,225,0.616016427104723,0.62 [0.01-2.16],135,561,1734
CKD,HEART FAILURE,17.4902148153811,2.69646072864765e-93,13.5282273367738,22.6125424028488,149,Positive,Significant,Significant after FDR correction,0,true,58,CKD precedes HEART FAILURE,38.9261744966443,8.59284890426759,334,0.914442162902122,0.91 [0.00-2.62],561,276,1734
CARDIAC ARRHYTHMIAS,CKD,14.7486868944416,1.59648672145739e-108,11.8133818914059,18.4133355807721,191,Positive,Significant,Significant after FDR correction,0,true,78,CKD precedes CARDIAC ARRHYTHMIAS,40.8376963350785,11.0149942329873,489,1.3388090349076,1.34 [0.08-3.95],403,561,1734
CKD,DIABETES,13.3483738121731,3.8699757818593e-94,10.6276615717237,16.7655962910577,172,Positive,Significant,Significant after FDR correction,0,true,85,DIABETES precedes CKD,49.4186046511628,9.91926182237601,556.5,1.52361396303901,1.52 [0.04-4.69],561,373,1734
ANAEMIA,CKD,13.236739380023,2.95701926671053e-93,10.5363483349541,16.6292214194733,171,Positive,Significant,Significant after FDR correction,0,true,88,ANAEMIA precedes CKD,51.4619883040936,9.86159169550173,617,1.68925393566051,1.69 [0.22-4.18],372,561,1734
CKD,CORONARY HEART DISEASE,13.1397643637227,5.27343666146781e-80,10.2836334703888,16.789144423642,145,Positive,Significant,Significant after FDR correction,0,true,85,CORONARY HEART DISEASE precedes CKD,58.6206896551724,8.36216839677047,686,1.87816563997262,1.88 [0.32-4.73],561,307,1734
CHRONIC AIRWAY DISEASES,CORONARY HEART DISEASE,12.1319454706665,2.83838250414805e-59,9.30199472614123,15.822853617579,105,Positive,Significant,Significant after FDR correction,0,true,54,CHRONIC AIRWAY DISEASES precedes CORONARY HEART DISEASE,51.4285714285714,6.05536332179931,637,1.74401095140315,1.74 [0.16-4.34],373,307,1734
CARDIAC ARRHYTHMIAS,CHRONIC ARTHRITIS,11.9144013880856,1.41407032950598e-70,9.32983811972607,15.2149435622345,130,Positive,Significant,Significant after FDR correction,0,true,82,CHRONIC ARTHRITIS precedes CARDIAC ARRHYTHMIAS,63.0769230769231,7.49711649365629,891,2.4394250513347,2.44 [0.80-5.47],403,377,1734
CHRONIC ARTHRITIS,HEART FAILURE,11.6735237647428,4.27254497043822e-53,8.86254161688457,15.3760809231514,95,Positive,Significant,Significant after FDR correction,0,true,57,CHRONIC ARTHRITIS precedes HEART FAILURE,60,5.47866205305652,798,2.18480492813142,2.18 [0.85-5.95],377,276,1734
ANAEMIA,HEART FAILURE,11.4298724954463,1.55961391647077e-51,8.66525714153078,15.0765272314908,93,Positive,Significant,Significant after FDR correction,0,true,52,ANAEMIA precedes HEART FAILURE,55.9139784946236,5.36332179930796,349,0.955509924709103,0.96 [0.16-3.57],372,276,1734
CHRONIC AIRWAY DISEASES,HEART FAILURE,11.1619217081851,2.28331944824673e-50,8.45849820881879,14.7293873148495,92,Positive,Significant,Significant after FDR correction,0,true,55,CHRONIC AIRWAY DISEASES precedes HEART FAILURE,59.7826086956522,5.30565167243368,575,1.57426420260096,1.57 [0.24-4.72],373,276,1734
DIABETES,HEART FAILURE,10.7221019035678,2.74962864075825e-48,8.11633385515899,14.1644579045276,90,Positive,Significant,Significant after FDR correction,0,true,42,DIABETES precedes HEART FAILURE,46.6666666666667,5.19031141868512,336.5,0.921286789869952,0.92 [0.00-4.17],373,276,1734
CARDIAC ARRHYTHMIAS,DIABETES,10.3476305534994,9.70714632108316e-61,8.07670001641811,13.2570799774731,120,Positive,Significant,Significant after FDR correction,0,true,61,DIABETES precedes CARDIAC ARRHYTHMIAS,50.8333333333333,6.9204152249135,685.5,1.87679671457906,1.88 [0.01-5.51],403,373,1734
CHRONIC ARTHRITIS,CORONARY HEART DISEASE,10.2988265306122,2.17965728178024e-50,7.87169402079043,13.4743331775226,97,Positive,Significant,Significant after FDR correction,0,true,49,CHRONIC ARTHRITIS precedes CORONARY HEART DISEASE,50.5154639175258,5.59400230680508,971,2.65845311430527,2.66 [0.60-5.72],377,307,1734
HEART FAILURE,REFLUX DISORDERS,10.2135426762292,3.39933740611302e-40,7.59731536143151,13.7306994690162,75,Positive,Significant,Significant after FDR correction,0,true,53,REFLUX DISORDERS precedes HEART FAILURE,70.6666666666667,4.32525951557093,1196,3.27446954140999,3.27 [0.84-6.23],276,306,1734
DEMENTIA,MENTAL ILLNESS,10.1155201470814,4.37754949891917e-44,7.62294505184029,13.423125465309,84,Positive,Significant,Significant after FDR correction,0,true,37,MENTAL ILLNESS precedes DEMENTIA,44.047619047619,4.84429065743945,191.5,0.524298425735797,0.52 [0.00-2.41],298,328,1734
CORONARY HEART DISEASE,HYPERTENSION,10.0676950805768,4.36268141524426e-47,7.65202838156373,13.2459629239844,91,Positive,Significant,Significant after FDR correction,0,true,60,HYPERTENSION precedes CORONARY HEART DISEASE,65.9340659340659,5.2479815455594,1148,3.14305270362765,3.14 [1.05-6.05],307,353,1734
CKD,IBD,10.0136548787262,1.92710325612386e-35,7.2201630884903,13.8879527790837,70,Positive,Significant,Significant after FDR correction,0,true,51,IBD precedes CKD,72.8571428571428,4.03690888119954,655.5,1.79466119096509,1.79 [0.22-4.29],561,158,1734
CKD,HYPERTENSION,10.0127362225053,9.75076192036935e-69,7.92121000843575,12.6565116383358,144,Positive,Significant,Significant after FDR correction,0,true,116,HYPERTENSION precedes CKD,80.5555555555556,8.30449826989619,1585,4.33949349760438,4.34 [1.51-7.48],561,353,1734
CHRONIC AIRWAY DISEASES,REFLUX DISORDERS,9.92476499628052,5.76874095976683e-48,7.56977477054533,13.0124030393442,94,Positive,Significant,Significant after FDR correction,0,true,45,REFLUX DISORDERS precedes CHRONIC AIRWAY DISEASES,47.8723404255319,5.42099192618224,836.5,2.290212183436,2.29 [0.98-4.77],373,306,1734
HEARING LOSS,HYPERTENSION,9.80520708337879,4.19239792173764e-44,7.41172746573004,12.9716164541233,86,Positive,Significant,Significant after FDR correction,0,true,52,HYPERTENSION precedes HEARING LOSS,60.4651162790698,4.959630911188,1249,3.41957563312799,3.42 [1.25-6.56],292,353,1734
CHRONIC ARTHRITIS,REFLUX DISORDERS,9.77821854790319,1.60075294098804e-47,7.46067745963348,12.8156670071695,94,Positive,Significant,Significant after FDR correction,0,true,47,CHRONIC ARTHRITIS precedes REFLUX DISORDERS,50,5.42099192618224,1159,3.17316906228611,3.17 [1.05-7.62],377,306,1734
