ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
CEREBRAL PALSY,EPILEPSY,9.94251394251394,2.17101517514889e-64,7.68740757778293,12.8591573292896,148,Positive,Significant,Significant after FDR correction,0,true,64,CEREBRAL PALSY precedes EPILEPSY,43.2432432432432,4.37999408108908,1326.5,3.63175906913073,3.63 [0.56-7.85],259,925,3379
DIABETES,HYPERTENSION,8.56966651439013,2.2182303347106e-38,6.4552612243544,11.3766401723277,81,Positive,Significant,Significant after FDR correction,0,true,49,HYPERTENSION precedes DIABETES,60.4938271604938,2.39715892275821,1120,3.06639288158795,3.07 [1.47-7.02],280,378,3379
CHRONIC CONSTIPATION,EPILEPSY,6.82456140350877,1.31028981562324e-25,4.86247884911219,9.57837345837821,70,Positive,Significant,Significant after FDR correction,0,true,41,EPILEPSY precedes CHRONIC CONSTIPATION,58.5714285714286,2.07161882213673,1514.5,4.14647501711157,4.15 [1.42-8.14],140,925,3379
INSOMNIA,MENTAL ILLNESS,5.41529688704899,1.75727589164867e-53,4.42464248858092,6.62775364350121,190,Positive,Significant,Significant after FDR correction,0,true,95,MENTAL ILLNESS precedes INSOMNIA,50,5.62296537437112,1281.5,3.50855578370979,3.51 [1.34-6.74],448,954,3379
INSOMNIA,REFLUX DISORDERS,4.60190669834124,2.150845051477e-39,3.72754238316794,5.68136940732508,155,Positive,Significant,Significant after FDR correction,0,true,79,INSOMNIA precedes REFLUX DISORDERS,50.9677419354839,4.58715596330275,1188,3.25256673511294,3.25 [1.38-7.20],448,813,3379
DYSPHAGIA,EPILEPSY,4.47238083153576,3.31268696939013e-19,3.30006958340898,6.06114198405058,73,Positive,Significant,Significant after FDR correction,0,true,39,EPILEPSY precedes DYSPHAGIA,53.4246575342466,2.16040248594259,1553,4.25188227241615,4.25 [1.70-8.44],184,925,3379
CHRONIC PAIN CONDITIONS,MENTAL ILLNESS,4.46183800623053,8.59119794888721e-25,3.42144462971721,5.81859435074028,98,Positive,Significant,Significant after FDR correction,0,true,57,CHRONIC PAIN CONDITIONS precedes MENTAL ILLNESS,58.1632653061224,2.90026635099142,1758,4.81314168377823,4.81 [2.03-8.39],245,954,3379
CHRONIC AIRWAY DISEASES,INSOMNIA,4.12648497554158,2.65257138625505e-27,3.2677825502823,5.21083578584486,112,Positive,Significant,Significant after FDR correction,0,true,59,CHRONIC AIRWAY DISEASES precedes INSOMNIA,52.6785714285714,3.31459011541876,1723,4.71731690622861,4.72 [2.20-8.70],589,448,3379
MENTAL ILLNESS,REFLUX DISORDERS,4.01845596246393,1.34151615622926e-54,3.4045324258577,4.7430854820523,275,Positive,Significant,Significant after FDR correction,0,true,154,MENTAL ILLNESS precedes REFLUX DISORDERS,56,8.13850251553714,1598,4.3750855578371,4.38 [1.95-8.82],954,813,3379
CHRONIC PAIN CONDITIONS,REFLUX DISORDERS,3.94919532187125,4.3971554841631e-19,2.99357470644464,5.20987288431921,81,Positive,Significant,Significant after FDR correction,0,true,42,CHRONIC PAIN CONDITIONS precedes REFLUX DISORDERS,51.8518518518518,2.39715892275821,1260,3.44969199178645,3.45 [1.49-6.36],245,813,3379
IBD,REFLUX DISORDERS,3.63935861882024,3.69777060281514e-19,2.80419280133908,4.72325980940267,90,Positive,Significant,Significant after FDR correction,0,true,50,IBD precedes REFLUX DISORDERS,55.5555555555556,2.66350991417579,1272.5,3.4839151266256,3.48 [1.66-7.82],289,813,3379
CHRONIC AIRWAY DISEASES,REFLUX DISORDERS,3.56775700934579,2.71941185396627e-32,2.933425387333,4.33925816988612,171,Positive,Significant,Significant after FDR correction,0,true,84,REFLUX DISORDERS precedes CHRONIC AIRWAY DISEASES,49.1228070175439,5.060668836934,1873,5.12799452429843,5.13 [2.13-9.96],589,813,3379
CHRONIC AIRWAY DISEASES,MENTAL ILLNESS,3.41373722263775,4.24713795065976e-33,2.82693549391688,4.12234444340848,190,Positive,Significant,Significant after FDR correction,0,true,90,MENTAL ILLNESS precedes CHRONIC AIRWAY DISEASES,47.3684210526316,5.62296537437112,1714.5,4.69404517453799,4.69 [1.75-9.76],589,954,3379
CHRONIC ARTHRITIS,REFLUX DISORDERS,3.29806110458284,7.98544866301882e-15,2.5010008152552,4.34914174486276,77,Positive,Significant,Significant after FDR correction,0,true,40,REFLUX DISORDERS precedes CHRONIC ARTHRITIS,51.9480519480519,2.2787807043504,1340,3.66872005475702,3.67 [1.74-6.91],262,813,3379
EPILEPSY,IBD,3.20007800074344,1.93784705912338e-16,2.47248303676562,4.14178744952616,92,Positive,Significant,Significant after FDR correction,0,true,44,IBD precedes EPILEPSY,47.8260869565217,2.7226990233797,1683.5,4.60917180013689,4.61 [1.71-7.47],925,289,3379
DIABETES,REFLUX DISORDERS,3.05496059810063,1.0608682476709e-13,2.32670931715456,4.01115179585942,78,Positive,Significant,Significant after FDR correction,0,true,49,REFLUX DISORDERS precedes DIABETES,62.8205128205128,2.30837525895235,1314.5,3.59890485968515,3.60 [1.45-7.86],280,813,3379
DIABETES,MENTAL ILLNESS,3.00827559661278,1.79349298382915e-14,2.31433503042772,3.91029040575144,88,Positive,Significant,Significant after FDR correction,0,true,59,MENTAL ILLNESS precedes DIABETES,67.0454545454545,2.60432080497189,1966,5.38261464750171,5.38 [1.25-9.17],280,954,3379
HEARING LOSS,REFLUX DISORDERS,2.98868022444942,9.06957424680777e-16,2.33495659488083,3.82542849130387,96,Positive,Significant,Significant after FDR correction,0,true,50,HEARING LOSS precedes REFLUX DISORDERS,52.0833333333333,2.84107724178751,1609,4.40520191649555,4.41 [1.85-8.69],354,813,3379
CHRONIC AIRWAY DISEASES,EPILEPSY,2.53756957328386,4.07358026277018e-18,2.08110509273208,3.09415385207797,155,Positive,Significant,Significant after FDR correction,0,true,71,EPILEPSY precedes CHRONIC AIRWAY DISEASES,45.8064516129032,4.58715596330275,1765,4.83230663928816,4.83 [1.92-8.72],589,925,3379
