Condition,Count,Prevalence
Chronic Kidney Disease,590,0.3038105046343975
Thyroid Disorders,543,0.2796086508753862
Chronic Arthritis,529,0.272399588053553
Hypertension,500,0.25746652935118436
Dementia,447,0.2301750772399588
Mental Illness,435,0.22399588053553038
Chronic Airway Diseases,419,0.2157569515962925
Diabetes,410,0.21112255406797117
Cardiac Arrhythmias,410,0.21112255406797117
Anaemia,408,0.21009268795056643
Reflux Disorders,359,0.18486096807415037
Osteoporosis,334,0.17198764160659114
Cancer,319,0.16426364572605562
Heart Failure,311,0.16014418125643667
Stroke,304,0.15653964984552007
Hearing Loss,301,0.154994850669413
Coronary Heart Disease,288,0.14830072090628219
Epilepsy,279,0.14366632337796087
Dysphagia,241,0.12409886714727085
Menopausal And Perimenopausal,213,0.10968074150360453
Inflammatory Bowel Disease,180,0.09268795056642637
Chronic Pain Conditions,159,0.08187435633367662
Neuropathic Pain,153,0.07878475798146241
