Condition,Count,Prevalence
Mental Illness,957,0.22406930461250293
Epilepsy,944,0.2210255209552798
Reflux Disorders,908,0.21259658159681574
Hypertension,871,0.20393350503394989
Diabetes,730,0.170920159213299
Chronic Airway Diseases,635,0.14867712479512996
Chronic Arthritis,625,0.14633575275111216
Chronic Kidney Disease,592,0.13860922500585343
Thyroid Disorders,497,0.11636619058768438
Hearing Loss,494,0.11566377897447905
Insomnia,479,0.11215172090845235
Anaemia,411,0.09623039100913135
Dysphagia,390,0.09131350971669398
Cardiac Arrhythmias,364,0.08522594240224772
Inflammatory Bowel Disease,331,0.077499414656989
Coronary Heart Disease,313,0.07328494497775696
Dementia,292,0.0683680636853196
Neuropathic Pain,291,0.06813392648091782
Stroke,277,0.0648560056192929
Chronic Pain Conditions,268,0.06274877077967689
Chronic Constipation,263,0.061578084757667996
Heart Failure,238,0.05572465464762351
Cerebral Palsy,232,0.05431983142121283
Chronic Diarrhoea,216,0.05057363615078436
Peripheral Vascular Disease,213,0.04987122453757902
Chronic Pneumonia,161,0.03769608990868649
