Condition,Count,Prevalence
Chronic Kidney Disease,561,0.3235294117647059
Cardiac Arrhythmias,403,0.23241061130334487
Chronic Arthritis,377,0.2174163783160323
Diabetes,373,0.21510957324106114
Chronic Airway Diseases,373,0.21510957324106114
Anaemia,372,0.21453287197231835
Hypertension,353,0.2035755478662053
Mental Illness,328,0.18915801614763553
Coronary Heart Disease,307,0.17704728950403692
Reflux Disorders,306,0.17647058823529413
Cancer,299,0.17243367935409457
Dementia,298,0.17185697808535177
Hearing Loss,292,0.16839677047289503
Heart Failure,276,0.15916955017301038
Dysphagia,259,0.14936562860438293
Epilepsy,251,0.1447520184544406
Stroke,240,0.1384083044982699
Thyroid Disorders,218,0.12572087658592848
Osteoporosis,170,0.09803921568627451
Inflammatory Bowel Disease,158,0.09111880046136102
Chronic Pneumonia,135,0.07785467128027682
