Condition,Count,Prevalence
Mental Illness,954,0.2823320509026339
Epilepsy,925,0.27374963006806746
Reflux Disorders,813,0.24060372891387985
Chronic Airway Diseases,589,0.1743119266055046
Insomnia,448,0.1325836046167505
Hypertension,378,0.11186741639538325
Hearing Loss,354,0.10476472329091448
Inflammatory Bowel Disease,289,0.08552826279964487
Diabetes,280,0.08286475288546907
Chronic Arthritis,262,0.07753773305711749
Cerebral Palsy,259,0.0766498964190589
Chronic Pain Conditions,245,0.07250665877478545
Dysphagia,184,0.05445398046759396
Chronic Constipation,140,0.041432376442734536
