ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Dementia,Epilepsy,16.8279126213592,8.79369814573374e-98,13.2691744755086,21.3410897350678,152,Positive,Significant,Significant after FDR correction,0,True,77,Dementia precedes Epilepsy,50.6578947368421,4.350314825415,535.0,1.46475017111567,1.46 [0.34-3.26],358,472,3494
Coronary Heart Disease,Hypertension,11.48979108016,2.9181683856214298e-55,8.58131140681796,15.3840471237108,111,Positive,Significant,Significant after FDR correction,0,True,65,Hypertension precedes Coronary Heart Disease,58.5585585585586,3.17687464224385,794.0,2.17385352498289,2.17 [0.36-6.38],196,905,3494
Chronic Pneumonia,Epilepsy,10.8570919276802,2.3694607198935603e-47,8.18575667630818,14.4001892295754,87,Positive,Significant,Significant after FDR correction,0,True,46,Epilepsy precedes Chronic Pneumonia,52.8735632183908,2.48998282770464,1003.0,2.7460643394935,2.75 [0.35-6.39],240,472,3494
Chronic Pneumonia,Dysphagia,9.68743949227294,3.08119269664905e-38,7.20503279042462,13.0251293292058,73,Positive,Significant,Significant after FDR correction,0,True,46,Chronic Pneumonia precedes Dysphagia,63.013698630137,2.0892959358901,841.0,2.3025325119781,2.30 [0.53-5.79],240,407,3494
Diabetes,Hypertension,9.39099869207773,1.37908371154352e-100,7.73591092452909,11.4001902678286,236,Positive,Significant,Significant after FDR correction,0,True,119,Diabetes precedes Hypertension,50.4237288135593,6.75443617630223,1284.0,3.51540041067762,3.52 [1.12-6.50],492,905,3494
Chronic Kidney Disease,Heart Failure,9.175415915354,2.15603560174555e-36,6.76928948547626,12.4367937580983,74,Positive,Significant,Significant after FDR correction,0,True,35,Chronic Kidney Disease precedes Heart Failure,47.2972972972973,2.11791642816256,494.0,1.35249828884326,1.35 [0.04-4.70],568,193,3494
Chronic Kidney Disease,Chronic Pneumonia,8.57669887081652,1.49148110840485e-40,6.48934578712044,11.3354667687244,87,Positive,Significant,Significant after FDR correction,0,True,44,Chronic Pneumonia precedes Chronic Kidney Disease,50.5747126436782,2.48998282770464,815.0,2.23134839151266,2.23 [0.57-5.28],568,240,3494
Cardiac Arrhythmias,Chronic Kidney Disease,7.09608831676066,3.2936310065904697e-40,5.49400137861928,9.16535434359899,99,Positive,Significant,Significant after FDR correction,0,True,42,Cardiac Arrhythmias precedes Chronic Kidney Disease,42.4242424242424,2.83342873497424,611.0,1.67282683093771,1.67 [0.01-4.70],313,568,3494
Dysphagia,Reflux Disorders,6.81336887143158,6.80288369511504e-52,5.44925612070954,8.5189600837019,138,Positive,Significant,Significant after FDR correction,0,True,64,Dysphagia precedes Reflux Disorders,46.3768115942029,3.94962793360046,541.0,1.48117727583847,1.48 [0.08-4.21],407,668,3494
Chronic Arthritis,Osteoporosis,5.99248120300752,1.1550261824338399e-28,4.52762286335597,7.9312769751722,79,Positive,Significant,Significant after FDR correction,0,True,53,Chronic Arthritis precedes Osteoporosis,67.0886075949367,2.2610188895249,1387.0,3.79739904175222,3.80 [1.38-6.97],632,250,3494
