ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Cardiac Arrhythmias,Heart Failure,39.9617625093353,6.22781197958246e-100,29.4221638000188,54.2768531134171,106,Positive,Significant,Significant after FDR correction,0,True,47,Cardiac Arrhythmias Precedes Heart Failure,44.3396226415094,8.20433436532508,114.5,0.313483915126626,0.31 [0.00-3.98],301,209,1292
Chronic Kidney Disease,Heart Failure,32.7636057533946,7.88819291878654e-102,24.3450694703271,44.0932757769391,120,Positive,Significant,Significant after FDR correction,0,True,56,Heart Failure Precedes Chronic Kidney Disease,46.6666666666667,9.28792569659443,727.0,1.99041752224504,1.99 [0.17-4.78],427,209,1292
Anaemia,Chronic Kidney Disease,23.8024779711052,3.11948756761057e-108,18.4428128291142,30.7197151982463,144,Positive,Significant,Significant after FDR correction,0,True,76,Anaemia Precedes Chronic Kidney Disease,52.7777777777778,11.1455108359133,1050.5,2.87611225188227,2.88 [0.47-5.81],302,427,1292
Cardiac Arrhythmias,Chronic Kidney Disease,22.7676791958042,2.15426316425094e-104,17.6368262709632,29.3911845588954,141,Positive,Significant,Significant after FDR correction,0,True,64,Cardiac Arrhythmias Precedes Chronic Kidney Disease,45.3900709219858,10.9133126934985,796.0,2.17932922655715,2.18 [0.10-5.92],301,427,1292
Diabetes,Hypertension,21.1864661654135,4.11842501846577e-56,15.2331680459247,29.466381991256,73,Positive,Significant,Significant after FDR correction,0,True,35,Diabetes Precedes Hypertension,47.945205479452,5.65015479876161,1358.0,3.71800136892539,3.72 [1.39-6.74],164,358,1292
Anaemia,Heart Failure,21.0768908443327,9.67153393522241e-62,15.4710194646218,28.7140306868444,80,Positive,Significant,Significant after FDR correction,0,True,44,Anaemia Precedes Heart Failure,55.0,6.19195046439629,1007.5,2.75838466803559,2.76 [0.82-5.55],302,209,1292
Chronic Arthritis,Hypertension,20.7050897467421,3.8456073816402895e-83,15.7932361299414,27.1445787230331,113,Positive,Significant,Significant after FDR correction,0,True,55,Hypertension Precedes Chronic Arthritis,48.6725663716814,8.74613003095975,1461.0,4.0,4.00 [1.43-7.31],279,358,1292
Chronic Kidney Disease,Hypertension,20.0041303186755,1.31671950705891e-106,15.7100367616034,25.4719473849092,153,Positive,Significant,Significant after FDR correction,0,True,102,Hypertension Precedes Chronic Kidney Disease,66.6666666666667,11.8421052631579,1493.0,4.08761122518823,4.09 [1.35-9.30],427,358,1292
Chronic Kidney Disease,Dementia,19.7548605240913,1.55023795021166e-93,15.3031073884002,25.5016516855991,133,Positive,Significant,Significant after FDR correction,0,True,65,Dementia Precedes Chronic Kidney Disease,48.8721804511278,10.2941176470588,741.0,2.02874743326489,2.03 [0.53-5.56],427,302,1292
Anaemia,Cardiac Arrhythmias,19.1570351758794,1.00767633988418e-73,14.5231941786326,25.2693720276646,102,Positive,Significant,Significant after FDR correction,0,True,62,Anaemia Precedes Cardiac Arrhythmias,60.7843137254902,7.89473684210526,1381.5,3.782340862423,3.78 [0.85-7.92],302,301,1292
Chronic Kidney Disease,Coronary Heart Disease,19.0272472625414,1.00595450500867e-50,13.5342469209484,26.7496330238756,70,Positive,Significant,Significant after FDR correction,0,True,43,Coronary Heart Disease Precedes Chronic Kidney Disease,61.4285714285714,5.41795665634675,1071.5,2.93360711841205,2.93 [0.71-6.51],427,147,1292
Cardiac Arrhythmias,Hypertension,18.909686269304,2.8250441899173e-81,14.5033198111727,24.6547852118686,115,Positive,Significant,Significant after FDR correction,0,True,80,Hypertension Precedes Cardiac Arrhythmias,69.5652173913043,8.90092879256966,1348.0,3.69062286105407,3.69 [1.52-9.02],301,358,1292
Chronic Kidney Disease,Diabetes,18.8694252873563,2.66770592651418e-55,13.6355815222156,26.112213116472,77,Positive,Significant,Significant after FDR correction,0,True,49,Diabetes Precedes Chronic Kidney Disease,63.6363636363636,5.95975232198142,1577.0,4.31759069130732,4.32 [1.17-8.41],427,164,1292
Anaemia,Chronic Arthritis,17.540208810797,1.03874774328601e-64,13.1933048615688,23.3193220617946,92,Positive,Significant,Significant after FDR correction,0,True,48,Chronic Arthritis Precedes Anaemia,52.1739130434783,7.12074303405573,970.0,2.65571526351814,2.66 [1.23-5.28],302,279,1292
Heart Failure,Hypertension,17.5243067442657,7.43165802885878e-58,12.9494897808864,23.7153225388386,82,Positive,Significant,Significant after FDR correction,0,True,57,Hypertension Precedes Heart Failure,69.5121951219512,6.34674922600619,1511.0,4.13689253935661,4.14 [0.80-9.99],209,358,1292
Chronic Kidney Disease,Reflux Disorders,16.4893225424199,3.05013497939402e-59,12.249704087187,22.1962715158448,88,Positive,Significant,Significant after FDR correction,0,True,58,Reflux Disorders Precedes Chronic Kidney Disease,65.9090909090909,6.81114551083591,983.5,2.69267624914442,2.69 [0.48-6.85],427,205,1292
Dementia,Mental Illness,16.1336460895932,7.13784388853024e-52,11.8813476797158,21.9078292430269,75,Positive,Significant,Significant after FDR correction,0,True,46,Mental Illness Precedes Dementia,61.3333333333333,5.80495356037152,750.0,2.05338809034908,2.05 [0.39-6.77],302,229,1292
Anaemia,Hypertension,15.9283284742468,6.23253502760119e-70,12.1887782025388,20.8151829303659,106,Positive,Significant,Significant after FDR correction,0,True,64,Hypertension Precedes Anaemia,60.377358490566,8.20433436532508,1134.5,3.10609171800137,3.11 [0.93-8.71],302,358,1292
Chronic Kidney Disease,Osteoporosis,15.8821512003579,4.8210255388125994e-57,11.7853673731899,21.4030431774953,86,Positive,Significant,Significant after FDR correction,0,True,51,Osteoporosis Precedes Chronic Kidney Disease,59.3023255813954,6.65634674922601,1478.5,4.04791238877481,4.05 [1.67-6.19],427,204,1292
Chronic Kidney Disease,Mental Illness,15.8340451357669,1.82760054436694e-62,11.9081017171243,21.0543201021674,95,Positive,Significant,Significant after FDR correction,0,True,47,Mental Illness Precedes Chronic Kidney Disease,49.4736842105263,7.35294117647059,813.0,2.2258726899384,2.23 [0.20-6.42],427,229,1292
Cardiac Arrhythmias,Dementia,15.6477557530189,2.4892860911455902e-61,11.8148893939845,20.7240416682023,92,Positive,Significant,Significant after FDR correction,0,True,46,Cardiac Arrhythmias Precedes Dementia,50.0,7.12074303405573,1295.5,3.54688569472964,3.55 [0.87-5.90],301,302,1292
Dementia,Hypertension,15.6338155333962,9.85016542330267e-69,11.9592663461337,20.4373898078855,105,Positive,Significant,Significant after FDR correction,0,True,79,Hypertension Precedes Dementia,75.2380952380952,8.12693498452012,1662.0,4.55030800821355,4.55 [1.30-10.29],302,358,1292
Dementia,Dysphagia,15.3206069505629,1.25299742753599e-50,11.3054012525897,20.7618457840997,75,Positive,Significant,Significant after FDR correction,0,True,35,Dementia Precedes Dysphagia,46.6666666666667,5.80495356037152,351.0,0.960985626283368,0.96 [0.23-3.96],302,237,1292
Hearing Loss,Hypertension,15.2145274080758,3.3841921516521e-48,11.1201467865003,20.8164378308482,72,Positive,Significant,Significant after FDR correction,0,True,41,Hearing Loss Precedes Hypertension,56.9444444444444,5.57275541795666,1461.5,4.00136892539357,4.00 [1.43-8.94],196,358,1292
Chronic Arthritis,Dementia,15.1028552425293,3.1970320993970296e-56,11.3182952027251,20.1528792447362,85,Positive,Significant,Significant after FDR correction,0,True,62,Chronic Arthritis Precedes Dementia,72.9411764705882,6.57894736842105,2040.0,5.58521560574949,5.59 [1.62-9.43],279,302,1292
Anaemia,Mental Illness,14.9882027139297,2.7098898972280002e-48,11.0120124510141,20.4001059382348,72,Positive,Significant,Significant after FDR correction,0,True,38,Anaemia Precedes Mental Illness,52.7777777777778,5.57275541795666,1514.0,4.145106091718,4.15 [1.36-8.66],302,229,1292
Hypertension,Osteoporosis,14.6391053970805,6.10633241993699e-48,10.7398017794375,19.954130553614,73,Positive,Significant,Significant after FDR correction,0,True,44,Hypertension Precedes Osteoporosis,60.2739726027397,5.65015479876161,1221.0,3.3429158110883,3.34 [0.85-6.83],358,204,1292
Chronic Kidney Disease,Dysphagia,14.6194586194586,1.24917752389834e-59,11.0219843089326,19.3911154593869,94,Positive,Significant,Significant after FDR correction,0,True,50,Chronic Kidney Disease Precedes Dysphagia,53.1914893617021,7.27554179566563,785.5,2.15058179329227,2.15 [0.27-5.98],427,237,1292
Chronic Arthritis,Chronic Kidney Disease,14.3411882267442,1.62689825328451e-66,10.9915477826615,18.7116213131818,107,Positive,Significant,Significant after FDR correction,0,True,71,Chronic Arthritis Precedes Chronic Kidney Disease,66.3551401869159,8.28173374613003,1511.0,4.13689253935661,4.14 [1.81-7.86],279,427,1292
Chronic Kidney Disease,Hearing Loss,13.0799211119459,6.615679242886551e-46,9.61992677168259,17.7843699183174,75,Positive,Significant,Significant after FDR correction,0,True,49,Hearing Loss Precedes Chronic Kidney Disease,65.3333333333333,5.80495356037152,1219.0,3.33744010951403,3.34 [0.86-7.09],427,196,1292
Cardiac Arrhythmias,Chronic Arthritis,12.7170482673267,3.3651055886061003e-47,9.4755645358498,17.0674070153451,77,Positive,Significant,Significant after FDR correction,0,True,60,Chronic Arthritis Precedes Cardiac Arrhythmias,77.9220779220779,5.95975232198142,2260.0,6.18754277891855,6.19 [3.11-11.08],301,279,1292
Anaemia,Dementia,12.0964207450694,1.6315453532041002e-47,9.06632484899027,16.1392181814488,80,Positive,Significant,Significant after FDR correction,0,True,50,Anaemia Precedes Dementia,62.5,6.19195046439629,1086.0,2.97330595482546,2.97 [0.98-5.89],302,302,1292
Hypertension,Mental Illness,11.9636541802147,8.52205617603785e-43,8.83694163497963,16.1966693066315,72,Positive,Significant,Significant after FDR correction,0,True,41,Hypertension Precedes Mental Illness,56.9444444444444,5.57275541795666,1414.5,3.87268993839836,3.87 [1.20-7.85],358,229,1292
Dysphagia,Hypertension,10.8443529607452,1.50658886597153e-39,8.01061169946172,14.6805257262844,70,Positive,Significant,Significant after FDR correction,0,True,44,Hypertension Precedes Dysphagia,62.8571428571429,5.41795665634675,857.5,2.34770704996578,2.35 [0.66-6.15],237,358,1292
