ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Chronic Pain Conditions,Neuropathic Pain,10.1583741612908,6.19517218598175e-50,7.7576653537799,13.3020130277339,97,Positive,Significant,Significant after FDR correction,0,True,69,Chronic Pain Conditions Precedes Neuropathic Pain,71.1340206185567,1.81444070332959,1603.0,4.38877481177276,4.39 [1.83-7.37],524,260,5346
Diabetes,Hypertension,9.33306175655858,8.51823722395966e-61,7.37344393416799,11.8134812618691,127,Positive,Significant,Significant after FDR correction,0,True,62,Diabetes Precedes Hypertension,48.8188976377953,2.37560793116349,1640.0,4.49007529089665,4.49 [1.00-7.29],399,488,5346
Chronic Diarrhoea,Reflux Disorders,6.14129725580503,1.64456695457254e-31,4.62032515726814,8.16296054939528,94,Positive,Significant,Significant after FDR correction,0,True,48,Chronic Diarrhoea Precedes Reflux Disorders,51.063829787234,1.7583239805462,1041.0,2.85010266940452,2.85 [1.19-6.10],202,1059,5346
Chronic Constipation,Reflux Disorders,4.99198660714286,4.43822703294658e-28,3.82566585918827,6.51388051207931,99,Positive,Significant,Significant after FDR correction,0,True,54,Chronic Constipation Precedes Reflux Disorders,54.5454545454545,1.85185185185185,816.0,2.23408624229979,2.23 [1.23-6.04],239,1059,5346
Neuropathic Pain,Reflux Disorders,4.1780161473413,2.08905130770828e-23,3.22064953419011,5.41996846975596,97,Positive,Significant,Significant after FDR correction,0,True,69,Reflux Disorders Precedes Neuropathic Pain,71.1340206185567,1.81444070332959,1335.0,3.65503080082136,3.66 [1.90-5.83],260,1059,5346
Dysphagia,Reflux Disorders,4.08393915720785,2.3904915760989e-30,3.26598058650905,5.10675388233185,133,Positive,Significant,Significant after FDR correction,0,True,74,Reflux Disorders Precedes Dysphagia,55.6390977443609,2.48784137673027,875.0,2.39561943874059,2.40 [0.47-6.22],368,1059,5346
Chronic Pain Conditions,Insomnia,4.07089311662192,2.02051822182345e-29,3.26232780709799,5.07986068441771,122,Positive,Significant,Significant after FDR correction,0,True,72,Chronic Pain Conditions Precedes Insomnia,59.0163934426229,2.28208005985784,1094.5,2.99657768651608,3.00 [1.03-6.11],524,639,5346
Cerebral Palsy,Epilepsy,4.00785806068993,2.42990785136968e-17,2.99097366448038,5.37046729143562,70,Positive,Significant,Significant after FDR correction,0,True,40,Epilepsy Precedes Cerebral Palsy,57.1428571428571,1.30939019827909,1553.0,4.25188227241615,4.25 [1.19-10.06],221,874,5346
Chronic Pain Conditions,Reflux Disorders,3.98971106976868,4.20691511905671e-39,3.28897864960067,4.83973783842209,182,Positive,Significant,Significant after FDR correction,0,True,107,Chronic Pain Conditions Precedes Reflux Disorders,58.7912087912088,3.40441451552563,1065.0,2.91581108829569,2.92 [1.26-5.86],524,1059,5346
Insomnia,Mental Illness,3.97855651440503,1.0957103615418e-58,3.37387836346871,4.69160717520381,338,Positive,Significant,Significant after FDR correction,0,True,213,Mental Illness Precedes Insomnia,63.0177514792899,6.32248410026188,1551.0,4.24640657084189,4.25 [1.64-8.39],639,1953,5346
Chronic Airway Diseases,Chronic Pain Conditions,3.94615121450565,3.8994526045787e-34,3.22043888456439,4.83539975944947,154,Positive,Significant,Significant after FDR correction,0,True,94,Chronic Airway Diseases Precedes Chronic Pain Conditions,61.038961038961,2.88065843621399,2067.5,5.66050650239562,5.66 [1.74-9.35],865,524,5346
Inflammatory Bowel Disease,Reflux Disorders,3.76201259933298,6.57024967422147e-18,2.84681956037958,4.97142108847003,81,Positive,Significant,Significant after FDR correction,0,True,47,Reflux Disorders Precedes Inflammatory Bowel Disease,58.0246913580247,1.51515151515152,1663.0,4.55304585900068,4.55 [1.43-7.51],230,1059,5346
Cardiac Arrhythmias,Reflux Disorders,3.49371402407117,3.71627256736311e-16,2.64361822181382,4.61717111089393,79,Positive,Significant,Significant after FDR correction,0,True,58,Reflux Disorders Precedes Cardiac Arrhythmias,73.4177215189873,1.47774036662926,1003.0,2.7460643394935,2.75 [0.83-6.47],235,1059,5346
Mental Illness,Neuropathic Pain,3.28506028812362,7.80481401178995e-20,2.56167739213776,4.21271668701463,131,Positive,Significant,Significant after FDR correction,0,True,86,Mental Illness Precedes Neuropathic Pain,65.6488549618321,2.45043022820801,1499.0,4.10403832991102,4.10 [1.56-8.63],1953,260,5346
Chronic Arthritis,Reflux Disorders,3.28501944409393,5.29585714283096e-16,2.51581919634671,4.28939916022009,85,Positive,Significant,Significant after FDR correction,0,True,58,Reflux Disorders Precedes Chronic Arthritis,68.2352941176471,1.58997381219603,1293.0,3.54004106776181,3.54 [1.56-7.43],264,1059,5346
Chronic Airway Diseases,Chronic Arthritis,3.20524399316114,1.44382119882744e-13,2.41815278845183,4.2485276797886,71,Positive,Significant,Significant after FDR correction,0,True,54,Chronic Airway Diseases Precedes Chronic Arthritis,76.056338028169,1.32809577254022,2035.0,5.57152635181383,5.57 [2.10-11.27],865,264,5346
Chronic Airway Diseases,Insomnia,3.2049169328216,1.26560761863369e-27,2.63857626140618,3.89281624962873,162,Positive,Significant,Significant after FDR correction,0,True,93,Chronic Airway Diseases Precedes Insomnia,57.4074074074074,3.03030303030303,1680.0,4.59958932238193,4.60 [1.75-8.54],865,639,5346
Chronic Pain Conditions,Mental Illness,3.15879314087259,1.9810817244894e-34,2.63928009322296,3.7805665766376,253,Positive,Significant,Significant after FDR correction,0,True,137,Mental Illness Precedes Chronic Pain Conditions,54.1501976284585,4.73251028806584,1622.0,4.44079397672827,4.44 [1.51-7.78],524,1953,5346
Insomnia,Reflux Disorders,3.06729266460989,8.73848472299947e-29,2.55051052566984,3.68878473375394,187,Positive,Significant,Significant after FDR correction,0,True,187,No Clear Precedence,100.0,3.49794238683128,1376.0,3.76728268309377,3.77 [1.20-7.18],639,1059,5346
Diabetes,Insomnia,2.93135513530457,3.5352759031911996e-13,2.25071971043295,3.81782009081154,76,Positive,Significant,Significant after FDR correction,0,True,46,Insomnia Precedes Diabetes,60.5263157894737,1.42162364384587,1319.0,3.61122518822724,3.61 [1.43-7.29],399,639,5346
Anaemia,Dysphagia,2.92453940785214,2.13353298398759e-15,2.29000382960107,3.73489801087804,95,Positive,Significant,Significant after FDR correction,0,True,61,Anaemia Precedes Dysphagia,64.2105263157895,1.77702955480733,1308.0,3.58110882956879,3.58 [0.88-6.78],904,368,5346
Chronic Airway Diseases,Reflux Disorders,2.88734367009159,4.82212930689177e-32,2.44531756461941,3.4092723128644,237,Positive,Significant,Significant after FDR correction,0,True,144,Chronic Airway Diseases Precedes Reflux Disorders,60.7594936708861,4.43322109988777,1805.0,4.94182067077344,4.94 [1.76-9.08],865,1059,5346
Chronic Airway Diseases,Mental Illness,2.69827647691185,1.02168624924959e-38,2.33264434057214,3.12121990447547,376,Positive,Significant,Significant after FDR correction,0,True,190,Chronic Airway Diseases Precedes Mental Illness,50.531914893617,7.03329592218481,1624.0,4.44626967830253,4.45 [1.58-8.53],865,1953,5346
Mental Illness,Reflux Disorders,2.61191113574391,3.2087533600979295e-42,2.28279674009065,2.98847447134174,446,Positive,Significant,Significant after FDR correction,0,True,278,Mental Illness Precedes Reflux Disorders,62.3318385650224,8.3426861204639,1682.0,4.60506502395619,4.61 [1.74-8.28],1953,1059,5346
Anaemia,Reflux Disorders,2.5698439004485,7.11528155039694e-26,2.17615658933833,3.0347529699967,230,Positive,Significant,Significant after FDR correction,0,True,108,Anaemia Precedes Reflux Disorders,46.9565217391304,4.30228208005986,896.5,2.45448323066393,2.45 [0.66-6.89],904,1059,5346
Diabetes,Mental Illness,2.54807016310461,3.39628441960517e-18,2.07629253205428,3.12704566233744,175,Positive,Significant,Significant after FDR correction,0,True,110,Mental Illness Precedes Diabetes,62.8571428571429,3.27347549569772,1826.0,4.99931553730322,5.00 [1.98-10.36],399,1953,5346
