ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Coronary Heart Disease,Heart Failure,27.5051119560625,4.30047831865179e-86,20.6745177087321,36.5924465263828,101,Positive,Significant,Significant after FDR correction,0,True,50,Coronary Heart Disease Precedes Heart Failure,49.5049504950495,2.54472159234064,286.0,0.783025325119781,0.78 [0.01-3.46],364,236,3969
Cardiac Arrhythmias,Heart Failure,21.2018474758324,3.06280560800862e-78,16.0482640086954,28.0104026295243,103,Positive,Significant,Significant after FDR correction,0,True,54,Cardiac Arrhythmias Precedes Heart Failure,52.4271844660194,2.59511211892164,313.0,0.856947296372348,0.86 [0.02-4.19],453,236,3969
Dementia,Epilepsy,15.4798769846337,2.6215188923181e-98,12.3543557630217,19.3961219877307,155,Positive,Significant,Significant after FDR correction,0,True,83,Dementia Precedes Epilepsy,53.5483870967742,3.90526581002771,818.0,2.23956194387406,2.24 [0.51-4.53],401,537,3969
Chronic Kidney Disease,Heart Failure,14.9312071930724,1.25244555988029e-66,11.3769770299016,19.5957983967545,105,Positive,Significant,Significant after FDR correction,0,True,51,Heart Failure Precedes Chronic Kidney Disease,48.5714285714286,2.64550264550265,557.0,1.52498288843258,1.52 [0.04-4.21],611,236,3969
Chronic Pneumonia,Dementia,14.8291044173464,3.2188971840292e-63,11.3405443589236,19.3908097231263,96,Positive,Significant,Significant after FDR correction,0,True,56,Dementia Precedes Chronic Pneumonia,58.3333333333333,2.41874527588813,781.5,2.13963039014374,2.14 [0.67-3.81],299,401,3969
Cardiac Arrhythmias,Coronary Heart Disease,13.5583302997209,1.5390649049997e-72,10.6117735843173,17.3230534043812,118,Positive,Significant,Significant after FDR correction,0,True,51,Coronary Heart Disease Precedes Cardiac Arrhythmias,43.2203389830509,2.97304106827916,404.0,1.10609171800137,1.11 [0.01-5.31],453,364,3969
Chronic Pneumonia,Dysphagia,13.1038749167983,2.49385325166056e-64,10.1306357242284,16.9497297612262,106,Positive,Significant,Significant after FDR correction,0,True,59,Chronic Pneumonia Precedes Dysphagia,55.6603773584906,2.67069790879315,623.5,1.70704996577687,1.71 [0.20-4.61],299,503,3969
Cardiac Arrhythmias,Chronic Pneumonia,10.0586122140291,2.7082535577894002e-45,7.65715429799336,13.2132220058214,84,Positive,Significant,Significant after FDR correction,0,True,49,Chronic Pneumonia Precedes Cardiac Arrhythmias,58.3333333333333,2.11640211640212,332.5,0.910335386721424,0.91 [0.13-3.02],453,299,3969
Diabetes,Hypertension,9.72679071628651,4.2070397596773504e-113,8.09777864634685,11.6835075111764,253,Positive,Significant,Significant after FDR correction,0,True,118,Hypertension Precedes Diabetes,46.6403162055336,6.37440161249685,1246.0,3.4113620807666,3.41 [0.86-6.69],547,1035,3969
Chronic Pneumonia,Epilepsy,9.41223470661673,7.40441236765764e-47,7.23305191401871,12.2479643759697,92,Positive,Significant,Significant after FDR correction,0,True,58,Epilepsy Precedes Chronic Pneumonia,63.0434782608696,2.31796422272613,654.5,1.79192334017796,1.79 [0.31-5.15],299,537,3969
Coronary Heart Disease,Hypertension,9.39593785303871,6.99865705577419e-78,7.56108054888018,11.6760623785764,173,Positive,Significant,Significant after FDR correction,0,True,84,Hypertension Precedes Coronary Heart Disease,48.5549132947977,4.35878054925674,945.0,2.58726899383984,2.59 [0.43-6.10],364,1035,3969
Dementia,Dysphagia,9.29310878857335,1.02469161896838e-55,7.30678969902925,11.8194001077837,112,Positive,Significant,Significant after FDR correction,0,True,68,Dementia Precedes Dysphagia,60.7142857142857,2.82186948853616,861.0,2.35728952772074,2.36 [0.69-3.85],401,503,3969
Cardiac Arrhythmias,Chronic Kidney Disease,9.22858152637159,6.023139911497409e-69,7.4170976902172,11.4824855416449,144,Positive,Significant,Significant after FDR correction,0,True,70,Cardiac Arrhythmias Precedes Chronic Kidney Disease,48.6111111111111,3.6281179138322,328.0,0.898015058179329,0.90 [0.03-4.21],453,611,3969
Anaemia,Chronic Kidney Disease,9.11711475857673,2.97753874114173e-81,7.45121474072694,11.1554671839921,175,Positive,Significant,Significant after FDR correction,0,True,92,Anaemia Precedes Chronic Kidney Disease,52.5714285714286,4.40917107583774,949.0,2.59822039698836,2.60 [0.76-5.34],578,611,3969
Dementia,Thyroid Disorders,8.79520689009549,2.27870916571989e-37,6.63143068707138,11.665003811379,74,Positive,Significant,Significant after FDR correction,0,True,53,Thyroid Disorders Precedes Dementia,71.6216216216216,1.8644494834971,1430.0,3.91512662559891,3.92 [1.13-7.75],401,319,3969
Anaemia,Inflammatory Bowel Disease,8.63759652447435,7.24336501652364e-35,6.42909494270974,11.6047553169538,71,Positive,Significant,Significant after FDR correction,0,True,35,Inflammatory Bowel Disease Precedes Anaemia,49.2957746478873,1.7888636936256,936.0,2.56262833675565,2.56 [0.68-5.67],578,224,3969
Chronic Airway Diseases,Chronic Pneumonia,7.94206874106448,5.4877013862133395e-34,5.97683210178267,10.5534930233325,72,Positive,Significant,Significant after FDR correction,0,True,34,Chronic Pneumonia Precedes Chronic Airway Diseases,47.2222222222222,1.8140589569161,857.0,2.34633812457221,2.35 [0.29-5.48],451,299,3969
Chronic Kidney Disease,Chronic Pneumonia,7.86574519230769,4.97870885620203e-41,6.05466533397395,10.2185577596084,91,Positive,Significant,Significant after FDR correction,0,True,61,Chronic Pneumonia Precedes Chronic Kidney Disease,67.032967032967,2.29276895943563,523.0,1.43189596167009,1.43 [0.21-4.60],611,299,3969
Anaemia,Reflux Disorders,7.24098555788387,1.0221251870192e-69,5.94818381129806,8.81476993866481,177,Positive,Significant,Significant after FDR correction,0,True,81,Reflux Disorders Precedes Anaemia,45.7627118644068,4.45956160241875,673.0,1.8425735797399,1.84 [0.24-5.12],578,728,3969
