ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Diabetes,Hypertension,9.06130751964085,2.6168133645385197e-69,7.296473589371,11.2530105070356,147,Positive,Significant,Significant after FDR correction,0,True,74,Diabetes Precedes Hypertension,50.3401360544218,2.3193436415273,1172.0,3.20876112251882,3.21 [0.60-6.75],455,633,6338
Anaemia,Dysphagia,6.3428491798057,2.02608597879506e-33,4.89270261458875,8.22280422231291,85,Positive,Significant,Significant after FDR correction,0,True,27,Anaemia Precedes Dysphagia,31.7647058823529,1.34111707163143,511.0,1.3990417522245,1.40 [0.00-4.98],407,475,6338
Anaemia,Reflux Disorders,4.11601934982979,1.76657249209943e-33,3.32863894475544,5.08965242831947,144,Positive,Significant,Significant after FDR correction,0,True,66,Reflux Disorders Precedes Anaemia,45.8333333333333,2.27201009782266,742.0,2.03148528405202,2.03 [0.04-6.12],407,1290,6338
Dysphagia,Reflux Disorders,3.73006489144976,1.5995702063778001e-32,3.05097089862308,4.56031360400891,157,Positive,Significant,Significant after FDR correction,0,True,76,Reflux Disorders Precedes Dysphagia,48.4076433121019,2.47712212054276,779.0,2.13278576317591,2.13 [0.13-7.27],475,1290,6338
Chronic Pain Conditions,Reflux Disorders,3.49991063171719,6.25583517864025e-21,2.74900079791933,4.45593702238223,104,Positive,Significant,Significant after FDR correction,0,True,69,Chronic Pain Conditions Precedes Reflux Disorders,66.3461538461538,1.64089618176081,1307.5,3.57973990417522,3.58 [1.51-7.26],321,1290,6338
Inflammatory Bowel Disease,Reflux Disorders,3.35158605990522,1.18860639390598e-16,2.57334988149337,4.36517754454446,85,Positive,Significant,Significant after FDR correction,0,True,45,Reflux Disorders Precedes Inflammatory Bowel Disease,52.9411764705882,1.34111707163143,948.0,2.59548254620123,2.60 [1.34-7.25],268,1290,6338
Chronic Airway Diseases,Reflux Disorders,2.87376617179029,5.09959013545533e-28,2.41021403173225,3.42647246319063,196,Positive,Significant,Significant after FDR correction,0,True,111,Chronic Airway Diseases Precedes Reflux Disorders,56.6326530612245,3.09245818870306,1667.0,4.56399726214921,4.56 [1.97-9.60],717,1290,6338
Chronic Airway Diseases,Hypertension,2.86140552675645,1.05362164118345e-16,2.28350468769329,3.58555935211291,104,Positive,Significant,Significant after FDR correction,0,True,62,Chronic Airway Diseases Precedes Hypertension,59.6153846153846,1.64089618176081,1823.5,4.99247091033539,4.99 [1.17-11.21],717,633,6338
Mental Illness,Neuropathic Pain,2.80383047575398,7.29532720044498e-14,2.16246780278776,3.63541382055822,103,Positive,Significant,Significant after FDR correction,0,True,70,Mental Illness Precedes Neuropathic Pain,67.9611650485437,1.62511833385926,1799.0,4.92539356605065,4.93 [1.39-8.98],2190,241,6338
Insomnia,Mental Illness,2.68940706785551,4.7427386121275896e-34,2.30726552098151,3.13484092353371,307,Positive,Significant,Significant after FDR correction,0,True,191,Mental Illness Precedes Insomnia,62.2149837133551,4.84379930577469,1313.0,3.59479808350445,3.59 [0.96-7.62],763,2190,6338
Cardiac Arrhythmias,Reflux Disorders,2.62536934973491,3.5678683152181e-12,2.03882075495026,3.38066218219151,87,Positive,Significant,Significant after FDR correction,0,True,55,Reflux Disorders Precedes Cardiac Arrhythmias,63.2183908045977,1.37267276743452,1317.0,3.60574948665298,3.61 [0.75-7.43],325,1290,6338
Cerebral Palsy,Epilepsy,2.61769111905352,7.25135289270951e-11,2.00499509654487,3.41761773212312,76,Positive,Significant,Significant after FDR correction,0,True,40,Epilepsy Precedes Cerebral Palsy,52.6315789473684,1.19911644051751,1127.5,3.08692676249144,3.09 [0.00-9.83],307,1177,6338
