ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Dementia,Epilepsy,11.737858783008,5.89482880823174e-73,9.0376857811876,15.2447575790508,154,Positive,Significant,Significant after FDR correction,0,True,60,DEMENTIA precedes EPILEPSY,38.961038961039,3.86255329821921,395.0,1.08145106091718,1.08 [0.03-3.16],258,824,3987
Chronic Diarrhoea,Inflammatory Bowel Disease,9.73669705321179,3.29917539860719e-37,7.18250514396686,13.1991927058563,72,Positive,Significant,Significant after FDR correction,0,True,42,IBD precedes CHRONIC DIARRHOEA,58.3333333333333,1.8058690744921,766.5,2.09856262833676,2.10 [0.55-6.27],231,339,3987
Chronic Pain Conditions,Neuropathic Pain,7.53651950503356,7.35740241875581e-43,5.8304179642336,9.7418618353234,103,Positive,Significant,Significant after FDR correction,0,True,53,CHRONIC PAIN CONDITIONS precedes NEUROPATHIC PAIN,51.4563106796116,2.58339603712064,1197.0,3.27720739219713,3.28 [0.92-6.14],401,359,3987
Cancer,Osteoporosis,6.97895100069013,6.861316573701091e-31,5.22731267123576,9.31755189201636,75,Positive,Significant,Significant after FDR correction,0,True,33,OSTEOPOROSIS precedes CANCER,44.0,1.8811136192626,261.0,0.714579055441478,0.71 [0.09-4.82],369,282,3987
Cerebral Palsy,Epilepsy,6.02520435967302,1.05609943679808e-29,4.5075910238274,8.05376694201458,90,Positive,Significant,Significant after FDR correction,0,True,38,EPILEPSY precedes CEREBRAL PALSY,42.2222222222222,2.25733634311512,687.0,1.88090349075975,1.88 [0.15-6.25],198,824,3987
Dementia,Thyroid Disorders,5.93481295365718,3.5223383254188e-38,4.59692661217352,7.66207681054176,123,Positive,Significant,Significant after FDR correction,0,True,83,THYROID DISORDERS precedes DEMENTIA,67.479674796748,3.08502633559067,1106.0,3.0280629705681,3.03 [1.08-5.58],258,919,3987
Epilepsy,Stroke,5.01889233954451,3.47536745408759e-25,3.78185210398169,6.66056726264315,88,Positive,Significant,Significant after FDR correction,0,True,47,EPILEPSY precedes STROKE,53.4090909090909,2.20717331326812,985.5,2.69815195071869,2.70 [0.94-6.04],824,214,3987
Dysphagia,Epilepsy,4.73680351906158,9.94375277547448e-37,3.78536879630821,5.92737690448466,142,Positive,Significant,Significant after FDR correction,0,True,85,EPILEPSY precedes DYSPHAGIA,59.8591549295775,3.5615751191372,995.0,2.72416153319644,2.72 [0.58-6.84],370,824,3987
Anaemia,Inflammatory Bowel Disease,4.7317756003015,2.10187487434022e-25,3.63802351468653,6.15435833254579,88,Positive,Significant,Significant after FDR correction,0,True,51,IBD precedes ANAEMIA,57.9545454545455,2.20717331326812,937.5,2.56673511293635,2.57 [0.93-6.41],495,339,3987
Chronic Arthritis,Chronic Pain Conditions,4.48861131980967,2.8317835231322e-34,3.59184415717967,5.60927220075813,137,Positive,Significant,Significant after FDR correction,0,True,72,CHRONIC PAIN CONDITIONS precedes CHRONIC ARTHRITIS,52.5547445255474,3.43616754451969,1130.0,3.09377138945927,3.09 [1.27-6.62],742,401,3987
Cardiac Arrhythmias,Chronic Kidney Disease,4.47912377030428,6.24414136492718e-20,3.35506294742321,5.97978340916479,71,Positive,Significant,Significant after FDR correction,0,True,32,CKD precedes CARDIAC ARRHYTHMIAS,45.0704225352113,1.7807875595686,349.0,0.955509924709103,0.96 [0.19-3.22],259,536,3987
Chronic Constipation,Epilepsy,4.47871905054225,1.6539499674898202e-25,3.44958460962324,5.81488109546064,100,Positive,Significant,Significant after FDR correction,0,True,54,EPILEPSY precedes CHRONIC CONSTIPATION,54.0,2.50815149235014,1143.5,3.13073237508556,3.13 [1.47-6.80],262,824,3987
Chronic Arthritis,Neuropathic Pain,4.42966375509981,8.628602433540271e-31,3.50780162835242,5.59379436529343,123,Positive,Significant,Significant after FDR correction,0,True,63,CHRONIC ARTHRITIS precedes NEUROPATHIC PAIN,51.219512195122,3.08502633559067,1253.0,3.43052703627652,3.43 [1.15-6.96],742,359,3987
Chronic Pain Conditions,Reflux Disorders,4.26828251846172,1.4543152264008299e-34,3.43619783932357,5.30185877219231,150,Positive,Significant,Significant after FDR correction,0,True,89,CHRONIC PAIN CONDITIONS precedes REFLUX DISORDERS,59.3333333333333,3.76222723852521,1172.0,3.20876112251882,3.21 [1.14-6.10],401,867,3987
Chronic Airway Diseases,Insomnia,4.14042276806802,4.32490364910238e-31,3.31690118142741,5.16840863222782,134,Positive,Significant,Significant after FDR correction,0,True,67,CHRONIC AIRWAY DISEASES precedes INSOMNIA,50.0,3.36092299974919,1109.5,3.03764544832307,3.04 [1.01-5.50],714,426,3987
Cardiac Arrhythmias,Chronic Airway Diseases,3.99768585218268,8.936329476115261e-20,3.04046150719667,5.25627183074476,83,Positive,Significant,Significant after FDR correction,0,True,52,CHRONIC AIRWAY DISEASES precedes CARDIAC ARRHYTHMIAS,62.6506024096386,2.08176573865061,1252.0,3.42778918548939,3.43 [1.02-6.65],259,714,3987
Chronic Constipation,Reflux Disorders,3.97543486816214,7.06717771335566e-22,3.05933426276767,5.16585669743128,97,Positive,Significant,Significant after FDR correction,0,True,50,CHRONIC CONSTIPATION precedes REFLUX DISORDERS,51.5463917525773,2.43290694757963,1354.0,3.70704996577687,3.71 [1.22-6.66],262,867,3987
Neuropathic Pain,Reflux Disorders,3.96147488046074,3.31840568037428e-28,3.15175618324259,4.97921866924866,130,Positive,Significant,Significant after FDR correction,0,True,67,REFLUX DISORDERS precedes NEUROPATHIC PAIN,51.5384615384615,3.26059694005518,1451.5,3.97399041752224,3.97 [1.74-6.68],359,867,3987
Chronic Airway Diseases,Chronic Pain Conditions,3.87491523781846,1.05414781530215e-26,3.08158676930144,4.87247941542839,122,Positive,Significant,Significant after FDR correction,0,True,69,CHRONIC PAIN CONDITIONS precedes CHRONIC AIRWAY DISEASES,56.5573770491803,3.05994482066717,1398.0,3.82751540041068,3.83 [1.52-6.14],714,401,3987
Chronic Airway Diseases,Neuropathic Pain,3.80148760330579,9.89638341369451e-24,2.98981845839104,4.83350684973177,109,Positive,Significant,Significant after FDR correction,0,True,53,NEUROPATHIC PAIN precedes CHRONIC AIRWAY DISEASES,48.6238532110092,2.73388512666165,1312.0,3.59206023271732,3.59 [0.96-6.37],714,359,3987
Diabetes,Hypertension,3.61700611851479,2.53320432382836e-32,2.96638956626291,4.41032203260316,170,Positive,Significant,Significant after FDR correction,0,True,105,HYPERTENSION precedes DIABETES,61.7647058823529,4.26385753699523,1223.5,3.34976043805613,3.35 [1.39-7.33],580,752,3987
Anaemia,Chronic Kidney Disease,3.56673373574782,1.35833334688964e-22,2.82327679194051,4.50596610932283,110,Positive,Significant,Significant after FDR correction,0,True,57,ANAEMIA precedes CKD,51.8181818181818,2.75896664158515,579.5,1.58658453114305,1.59 [0.26-4.67],495,536,3987
Inflammatory Bowel Disease,Reflux Disorders,3.56644951723561,1.21796007532189e-22,2.81369293980914,4.52059355128244,116,Positive,Significant,Significant after FDR correction,0,True,65,IBD precedes REFLUX DISORDERS,56.0344827586207,2.90945573112616,1045.0,2.86105407255305,2.86 [1.13-6.13],339,867,3987
Chronic Airway Diseases,Reflux Disorders,3.55779966632444,8.130010473936779e-40,2.97838173373179,4.24993825416677,227,Positive,Significant,Significant after FDR correction,0,True,111,REFLUX DISORDERS precedes CHRONIC AIRWAY DISEASES,48.8986784140969,5.69350388763481,1058.0,2.89664613278576,2.90 [1.01-6.54],714,867,3987
Dysphagia,Reflux Disorders,3.52535893063425,6.67027403616486e-24,2.80445240547153,4.43158014218931,125,Positive,Significant,Significant after FDR correction,0,True,67,DYSPHAGIA precedes REFLUX DISORDERS,53.6,3.13518936543767,956.0,2.61738535249829,2.62 [0.61-6.39],370,867,3987
Chronic Arthritis,Reflux Disorders,3.51118045527508,4.4221981140523e-40,2.94531740723882,4.18575877737516,233,Positive,Significant,Significant after FDR correction,0,True,117,REFLUX DISORDERS precedes CHRONIC ARTHRITIS,50.2145922746781,5.84399297717582,1254.0,3.43326488706365,3.43 [1.11-6.77],742,867,3987
Chronic Airway Diseases,Diabetes,3.47322334210695,2.6109806742603e-29,2.83686624317633,4.25232610567138,159,Positive,Significant,Significant after FDR correction,0,True,79,CHRONIC AIRWAY DISEASES precedes DIABETES,49.685534591195,3.98796087283672,737.0,2.01779603011636,2.02 [0.36-5.00],714,580,3987
Chronic Pain Conditions,Insomnia,3.4582066606785,1.2422851604859801e-15,2.62536373334047,4.555251966075,73,Positive,Significant,Significant after FDR correction,0,True,43,INSOMNIA precedes CHRONIC PAIN CONDITIONS,58.9041095890411,1.8309505894156,1580.0,4.32580424366872,4.33 [1.84-7.62],401,426,3987
Chronic Diarrhoea,Reflux Disorders,3.30253164556962,1.46400225881956e-14,2.48701513779137,4.38546396612393,77,Positive,Significant,Significant after FDR correction,0,True,40,REFLUX DISORDERS precedes CHRONIC DIARRHOEA,51.9480519480519,1.93127664910961,1006.0,2.75427789185489,2.75 [1.10-6.54],231,867,3987
Insomnia,Mental Illness,3.29950658195866,2.01566355725003e-24,2.66149564646964,4.09046082747846,143,Positive,Significant,Significant after FDR correction,0,True,74,INSOMNIA precedes MENTAL ILLNESS,51.7482517482517,3.5866566340607,826.0,2.26146475017112,2.26 [0.64-5.00],426,915,3987
Chronic Pain Conditions,Mental Illness,3.29106419895894,2.78893485282993e-23,2.64005413122857,4.10260662217137,135,Positive,Significant,Significant after FDR correction,0,True,66,CHRONIC PAIN CONDITIONS precedes MENTAL ILLNESS,48.8888888888889,3.38600451467269,1276.0,3.49349760438056,3.49 [1.36-6.89],401,915,3987
Menopausal And Perimenopausal,Neuropathic Pain,3.25706829056111,1.86866748950387e-20,2.57886729433118,4.11362533958149,117,Positive,Significant,Significant after FDR correction,0,True,68,MENOPAUSAL AND PERIMENOPAUSAL precedes NEUROPATHIC PAIN,58.1196581196581,2.93453724604966,1301.0,3.56194387405886,3.56 [1.44-6.27],877,359,3987
Chronic Kidney Disease,Diabetes,3.24494244084125,2.4680707418557902e-21,2.59151933264402,4.06311900194463,119,Positive,Significant,Significant after FDR correction,0,True,59,DIABETES precedes CKD,49.5798319327731,2.98470027589666,839.0,2.29705681040383,2.30 [0.72-4.36],536,580,3987
