ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Cerebral Palsy,Epilepsy,9.94251394251394,2.17101517514889e-64,7.68740757778293,12.8591573292896,148,Positive,Significant,Significant after FDR correction,0,True,64,Cerebral Palsy Precedes Epilepsy,43.2432432432432,4.37999408108908,1326.5,3.63175906913073,3.63 [0.56-7.85],259,925,3379
Diabetes,Hypertension,8.56966651439013,2.2182303347106e-38,6.4552612243544,11.3766401723277,81,Positive,Significant,Significant after FDR correction,0,True,49,Hypertension Precedes Diabetes,60.4938271604938,2.39715892275821,1120.0,3.06639288158795,3.07 [1.47-7.02],280,378,3379
Chronic Constipation,Epilepsy,6.82456140350877,1.31028981562324e-25,4.86247884911219,9.57837345837821,70,Positive,Significant,Significant after FDR correction,0,True,41,Epilepsy Precedes Chronic Constipation,58.5714285714286,2.07161882213673,1514.5,4.14647501711157,4.15 [1.42-8.14],140,925,3379
Insomnia,Mental Illness,5.41529688704899,1.75727589164867e-53,4.42464248858092,6.62775364350121,190,Positive,Significant,Significant after FDR correction,0,True,95,Mental Illness Precedes Insomnia,50.0,5.62296537437112,1281.5,3.50855578370979,3.51 [1.34-6.74],448,954,3379
Insomnia,Reflux Disorders,4.60190669834124,2.150845051477e-39,3.72754238316794,5.68136940732508,155,Positive,Significant,Significant after FDR correction,0,True,79,Insomnia Precedes Reflux Disorders,50.9677419354839,4.58715596330275,1188.0,3.25256673511294,3.25 [1.38-7.20],448,813,3379
Dysphagia,Epilepsy,4.47238083153576,3.3126869693901303e-19,3.30006958340898,6.06114198405058,73,Positive,Significant,Significant after FDR correction,0,True,39,Epilepsy Precedes Dysphagia,53.4246575342466,2.16040248594259,1553.0,4.25188227241615,4.25 [1.70-8.44],184,925,3379
Chronic Pain Conditions,Mental Illness,4.46183800623053,8.591197948887211e-25,3.42144462971721,5.81859435074028,98,Positive,Significant,Significant after FDR correction,0,True,57,Chronic Pain Conditions Precedes Mental Illness,58.1632653061224,2.90026635099142,1758.0,4.81314168377823,4.81 [2.03-8.39],245,954,3379
Chronic Airway Diseases,Insomnia,4.12648497554158,2.65257138625505e-27,3.2677825502823,5.21083578584486,112,Positive,Significant,Significant after FDR correction,0,True,59,Chronic Airway Diseases Precedes Insomnia,52.6785714285714,3.31459011541876,1723.0,4.71731690622861,4.72 [2.20-8.70],589,448,3379
Mental Illness,Reflux Disorders,4.01845596246393,1.34151615622926e-54,3.4045324258577,4.7430854820523,275,Positive,Significant,Significant after FDR correction,0,True,154,Mental Illness Precedes Reflux Disorders,56.0,8.13850251553714,1598.0,4.3750855578371,4.38 [1.95-8.82],954,813,3379
Chronic Pain Conditions,Reflux Disorders,3.94919532187125,4.397155484163099e-19,2.99357470644464,5.20987288431921,81,Positive,Significant,Significant after FDR correction,0,True,42,Chronic Pain Conditions Precedes Reflux Disorders,51.8518518518518,2.39715892275821,1260.0,3.44969199178645,3.45 [1.49-6.36],245,813,3379
