Condition,Count,Prevalence
Thyroid Disorders,919,0.23049912214697768
Mental Illness,915,0.22949586155003762
Menopausal And Perimenopausal,877,0.2199648858791071
Reflux Disorders,867,0.21745673438675697
Epilepsy,824,0.20667168296965135
Hypertension,752,0.18861299222473038
Chronic Arthritis,742,0.18610484073238023
Chronic Airway Diseases,714,0.17908201655379985
Diabetes,580,0.145472786556308
Chronic Kidney Disease,536,0.1344369199899674
Anaemia,495,0.12415349887133183
Hearing Loss,458,0.11487333834963631
Insomnia,426,0.10684725357411588
Chronic Pain Conditions,401,0.10057687484324053
Dysphagia,370,0.0928016052169551
Cancer,369,0.09255079006772009
Neuropathic Pain,359,0.09004263857536995
Inflammatory Bowel Disease,339,0.08502633559066967
Osteoporosis,282,0.07072987208427389
Chronic Constipation,262,0.06571356909957361
Cardiac Arrhythmias,259,0.06496112365186857
Dementia,258,0.06471030850263355
Chronic Diarrhoea,231,0.057938299473288185
Stroke,214,0.05367444193629295
Cerebral Palsy,198,0.04966139954853273
