ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Coronary Heart Disease,Heart Failure,26.2291069305546,1.56565505977988e-100,19.9183002617397,34.5393954973134,130,Positive,Significant,Significant after FDR correction,0,True,52,CORONARY HEART DISEASE precedes HEART FAILURE,40.0,6.69412976313079,510.5,1.39767282683094,1.40 [0.00-4.15],288,311,1942
Cardiac Arrhythmias,Heart Failure,22.1044494720965,2.04880224296747e-108,17.1249056738693,28.5319344684057,155,Positive,Significant,Significant after FDR correction,0,True,75,CARDIAC ARRHYTHMIAS precedes HEART FAILURE,48.3870967741936,7.98146240988672,387.0,1.05954825462012,1.06 [0.10-3.68],410,311,1942
Cardiac Arrhythmias,Coronary Heart Disease,17.5763829043904,5.33294944710582e-86,13.536396673547,22.8221175436931,133,Positive,Significant,Significant after FDR correction,0,True,61,CARDIAC ARRHYTHMIAS precedes CORONARY HEART DISEASE,45.8646616541353,6.8486096807415,460.0,1.25941136208077,1.26 [0.16-4.35],410,288,1942
Chronic Kidney Disease,Heart Failure,13.5481287540428,1.11190915355359e-86,10.6246995226024,17.2759514135571,160,Positive,Significant,Significant after FDR correction,0,True,67,HEART FAILURE precedes CKD,41.875,8.2389289392379,483.0,1.3223819301848,1.32 [0.08-4.50],590,311,1942
Anaemia,Chronic Kidney Disease,13.247347618057,1.97890275900046e-104,10.6357242404265,16.5002603439634,199,Positive,Significant,Significant after FDR correction,0,True,105,ANAEMIA precedes CKD,52.7638190954774,10.2471678681771,842.0,2.30527036276523,2.31 [0.38-5.59],408,590,1942
Dysphagia,Stroke,12.5121262002743,1.10153797297067e-46,9.26801662823041,16.8917804457461,79,Positive,Significant,Significant after FDR correction,0,True,36,STROKE precedes DYSPHAGIA,45.5696202531646,4.06797116374871,604.0,1.65366187542779,1.65 [0.34-6.25],241,304,1942
Cardiac Arrhythmias,Chronic Kidney Disease,12.4772446276126,1.74778475154289e-99,10.0223680524156,15.5334181186616,195,Positive,Significant,Significant after FDR correction,0,True,91,CARDIAC ARRHYTHMIAS precedes CKD,46.6666666666667,10.0411946446962,638.0,1.74674880219028,1.75 [0.28-5.16],410,590,1942
Chronic Kidney Disease,Diabetes,12.0182564197132,3.21140179681432e-96,9.65392703610733,14.9616303116601,192,Positive,Significant,Significant after FDR correction,0,True,86,DIABETES precedes CKD,44.7916666666667,9.88671472708548,492.5,1.34839151266256,1.35 [0.25-4.87],590,410,1942
Chronic Arthritis,Neuropathic Pain,11.5925441646961,6.023678271136489e-40,8.32454733698367,16.1434700014719,74,Positive,Significant,Significant after FDR correction,0,True,40,NEUROPATHIC PAIN precedes CHRONIC ARTHRITIS,54.0540540540541,3.81050463439753,1242.0,3.40041067761807,3.40 [1.66-10.78],529,153,1942
Chronic Arthritis,Chronic Pain Conditions,11.3740259049443,1.44300115904186e-40,8.21342436226347,15.750856108291,76,Positive,Significant,Significant after FDR correction,0,True,39,CHRONIC PAIN CONDITIONS precedes CHRONIC ARTHRITIS,51.3157894736842,3.913491246138,1700.5,4.65571526351814,4.66 [1.38-7.98],529,159,1942
