ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Coronary Heart Disease,Heart Failure,31.4340747534969,5.57347198384687e-108,23.7703248459434,41.5686812028174,129,Positive,Significant,Significant after FDR correction,0,True,59,CORONARY HEART DISEASE precedes HEART FAILURE,45.7364341085271,7.43944636678201,366.0,1.00205338809035,1.00 [0.03-3.42],307,276,1734
Cardiac Arrhythmias,Heart Failure,27.5175695899431,2.9718141176332003e-113,21.0643593055964,35.9477649024049,146,Positive,Significant,Significant after FDR correction,0,True,60,CARDIAC ARRHYTHMIAS precedes HEART FAILURE,41.0958904109589,8.41983852364475,303.5,0.830937713894593,0.83 [0.08-2.27],403,276,1734
Cancer,Osteoporosis,20.2317916002127,1.78471094679284e-53,14.5132259206329,28.2036119049531,71,Positive,Significant,Significant after FDR correction,0,True,21,OSTEOPOROSIS precedes CANCER,29.5774647887324,4.09457900807382,0.0,0.0,0.00 [0.00-1.14],299,170,1734
Cardiac Arrhythmias,Coronary Heart Disease,18.3188346060396,4.24106430374415e-90,14.1758096345231,23.6727008880098,135,Positive,Significant,Significant after FDR correction,0,True,64,CORONARY HEART DISEASE precedes CARDIAC ARRHYTHMIAS,47.4074074074074,7.78546712802768,498.0,1.36344969199179,1.36 [0.10-3.99],403,307,1734
Chronic Pneumonia,Chronic Kidney Disease,18.1841656787196,6.05277572886547e-52,12.7540873473032,25.926110777424,79,Positive,Significant,Significant after FDR correction,0,True,35,CHRONIC PNEUMONIA precedes CKD,44.3037974683544,4.55594002306805,225.0,0.616016427104723,0.62 [0.01-2.16],135,561,1734
Chronic Kidney Disease,Heart Failure,17.4902148153811,2.69646072864765e-93,13.5282273367738,22.6125424028488,149,Positive,Significant,Significant after FDR correction,0,True,58,CKD precedes HEART FAILURE,38.9261744966443,8.59284890426759,334.0,0.914442162902122,0.91 [0.00-2.62],561,276,1734
Cardiac Arrhythmias,Chronic Kidney Disease,14.7486868944416,1.59648672145739e-108,11.8133818914059,18.4133355807721,191,Positive,Significant,Significant after FDR correction,0,True,78,CKD precedes CARDIAC ARRHYTHMIAS,40.8376963350785,11.0149942329873,489.0,1.3388090349076,1.34 [0.08-3.95],403,561,1734
Chronic Kidney Disease,Diabetes,13.3483738121731,3.8699757818593e-94,10.6276615717237,16.7655962910577,172,Positive,Significant,Significant after FDR correction,0,True,85,DIABETES precedes CKD,49.4186046511628,9.91926182237601,556.5,1.52361396303901,1.52 [0.04-4.69],561,373,1734
Anaemia,Chronic Kidney Disease,13.236739380023,2.95701926671053e-93,10.5363483349541,16.6292214194733,171,Positive,Significant,Significant after FDR correction,0,True,88,ANAEMIA precedes CKD,51.4619883040936,9.86159169550173,617.0,1.68925393566051,1.69 [0.22-4.18],372,561,1734
Chronic Kidney Disease,Coronary Heart Disease,13.1397643637227,5.2734366614678096e-80,10.2836334703888,16.789144423642,145,Positive,Significant,Significant after FDR correction,0,True,85,CORONARY HEART DISEASE precedes CKD,58.6206896551724,8.36216839677047,686.0,1.87816563997262,1.88 [0.32-4.73],561,307,1734
Chronic Airway Diseases,Coronary Heart Disease,12.1319454706665,2.83838250414805e-59,9.30199472614123,15.822853617579,105,Positive,Significant,Significant after FDR correction,0,True,54,CHRONIC AIRWAY DISEASES precedes CORONARY HEART DISEASE,51.4285714285714,6.05536332179931,637.0,1.74401095140315,1.74 [0.16-4.34],373,307,1734
Cardiac Arrhythmias,Chronic Arthritis,11.9144013880856,1.41407032950598e-70,9.32983811972607,15.2149435622345,130,Positive,Significant,Significant after FDR correction,0,True,82,CHRONIC ARTHRITIS precedes CARDIAC ARRHYTHMIAS,63.0769230769231,7.49711649365629,891.0,2.4394250513347,2.44 [0.80-5.47],403,377,1734
Chronic Arthritis,Heart Failure,11.6735237647428,4.27254497043822e-53,8.86254161688457,15.3760809231514,95,Positive,Significant,Significant after FDR correction,0,True,57,CHRONIC ARTHRITIS precedes HEART FAILURE,60.0,5.47866205305652,798.0,2.18480492813142,2.18 [0.85-5.95],377,276,1734
